catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2011_1,1,4,58.057,76.139,0.237,1.0
A,2011_2,2,4,110.573,117.468,0.059,1.0
A,2011_3,3,4,370.347,352.063,-0.052,0.0
A,2011_4,4,4,713.252,564.733,-0.263,0.0
A,2011_5,5,4,723.94,443.774,-0.631,0.0
A,2011_6,6,4,655.089,391.208,-0.675,0.0
A,2011_7,7,4,484.004,132.73,-2.647,0.0
A,2011_8,8,4,61.155,65.621,0.068,1.0
A,2011_9,9,4,23.838,46.435,0.487,1.0
A,2011_10,10,4,12.253,18.757,0.347,1.0
A,2011_11,11,4,47.644,10.666,-3.467,0.0
A,2011_12,12,4,18.135,12.236,-0.482,0.0
A,2012_1,1,4,14.719,42.56,0.654,1.0
A,2012_2,2,4,14.304,18.888,0.243,1.0
A,2012_3,3,4,20.239,19.1,-0.06,0.0
A,2012_4,4,4,58.26,43.503,-0.339,0.0
A,2012_5,5,4,212.877,54.367,-2.916,0.0
A,2012_6,6,4,202.111,53.47,-2.78,0.0
A,2012_7,7,4,177.041,57.558,-2.076,0.0
A,2012_8,8,4,83.058,67.104,-0.238,0.0
A,2012_9,9,4,63.736,62.761,-0.016,0.0
A,2012_10,10,4,41.262,50.143,0.177,1.0
A,2012_11,11,4,26.855,66.871,0.598,1.0
A,2012_12,12,4,23.681,53.768,0.56,1.0
A,2013_1,1,4,9.558,36.58,0.739,1.0
A,2013_2,2,4,14.182,26.652,0.468,1.0
A,2013_3,3,4,25.952,15.132,-0.715,0.0
A,2013_4,4,4,198.745,101.029,-0.967,0.0
A,2013_5,5,4,55.912,56.907,0.017,1.0
A,2013_6,6,4,82.374,75.079,-0.097,0.0
A,2013_7,7,4,50.481,72.656,0.305,1.0
A,2013_8,8,4,41.03,112.997,0.637,1.0
A,2013_9,9,4,44.011,34.623,-0.271,0.0
A,2013_10,10,4,26.02,9.628,-1.703,0.0
A,2013_11,11,4,10.127,15.785,0.358,1.0
A,2013_12,12,4,18.016,11.359,-0.586,0.0
A,2014_1,1,4,60.877,11.443,-4.32,0.0
A,2014_2,2,4,61.06,40.014,-0.526,0.0
A,2014_3,3,4,67.717,93.322,0.274,1.0
A,2014_4,4,4,125.491,234.195,0.464,1.0
A,2014_5,5,4,47.891,242.227,0.802,1.0
A,2014_6,6,4,72.131,217.262,0.668,1.0
A,2014_7,7,4,43.776,128.239,0.659,1.0
A,2014_8,8,4,27.45,65.621,0.582,1.0
A,2014_9,9,4,61.101,52.291,-0.168,0.0
A,2014_10,10,4,49.942,48.232,-0.035,0.0
A,2014_11,11,4,19.82,10.36,-0.913,0.0
A,2014_12,12,4,37.138,12.075,-2.076,0.0
A,2015_1,1,4,40.492,10.853,-2.731,0.0
A,2015_2,2,4,71.597,43.648,-0.64,0.0
A,2015_3,3,4,47.373,85.588,0.446,1.0
A,2015_4,4,4,137.353,150.481,0.087,1.0
A,2015_5,5,4,172.884,336.207,0.486,1.0
A,2015_6,6,4,265.859,389.607,0.318,1.0
A,2015_7,7,4,113.236,330.125,0.657,1.0
A,2015_8,8,4,59.904,120.358,0.502,1.0
A,2015_9,9,4,16.167,34.928,0.537,1.0
A,2015_10,10,4,29.53,74.018,0.601,1.0
A,2015_11,11,4,13.715,95.831,0.857,1.0
A,2015_12,12,4,27.774,13.66,-1.033,0.0
A,2016_1,1,4,24.95,28.306,0.119,1.0
A,2016_2,2,4,13.566,21.439,0.367,1.0
A,2016_3,3,4,45.228,64.308,0.297,1.0
A,2016_4,4,4,74.242,49.486,-0.5,0.0
A,2016_5,5,4,43.069,121.72,0.646,1.0
A,2016_6,6,4,65.147,168.677,0.614,1.0
A,2016_7,7,4,56.955,94.452,0.397,1.0
A,2016_8,8,4,88.953,140.811,0.368,1.0
A,2016_9,9,4,22.164,34.443,0.357,1.0
A,2016_10,10,4,18.565,40.569,0.542,1.0
A,2016_11,11,4,8.708,14.735,0.409,1.0
A,2016_12,12,4,10.965,15.835,0.308,1.0
A,2017_1,1,4,38.575,11.765,-2.279,0.0
A,2017_2,2,4,54.307,48.959,-0.109,0.0
A,2017_3,3,4,60.128,115.677,0.48,1.0
A,2017_4,4,4,58.196,46.284,-0.257,0.0
A,2017_5,5,4,72.532,55.453,-0.308,0.0
A,2017_6,6,4,56.246,80.026,0.297,1.0
A,2017_7,7,4,45.043,60.418,0.254,1.0
A,2017_8,8,4,87.813,103.598,0.152,1.0
A,2017_9,9,4,33.391,65.872,0.493,1.0
