catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2018_2,2,4,115.263,155.545,0.259,1.0
A,2018_3,3,4,28.157,101.258,0.722,1.0
A,2018_4,4,4,51.529,47.985,-0.074,0.0
A,2018_5,5,4,99.549,51.023,-0.951,0.0
A,2018_6,6,4,107.394,83.226,-0.29,0.0
A,2018_7,7,4,214.279,51.377,-3.171,0.0
A,2018_8,8,4,218.289,84.599,-1.58,0.0
A,2018_9,9,4,53.897,93.212,0.422,1.0
A,2018_10,10,4,16.485,76.276,0.784,1.0
A,2018_11,11,4,31.685,28.267,-0.121,0.0
A,2018_12,12,4,71.504,16.822,-3.251,0.0
A,2019_1,1,4,83.59,11.789,-6.091,0.0
A,2019_2,2,4,155.898,31.698,-3.918,0.0
A,2019_3,3,4,113.915,89.215,-0.277,0.0
A,2019_4,4,4,144.892,163.365,0.113,1.0
A,2019_5,5,4,117.549,317.217,0.629,1.0
A,2019_6,6,4,91.206,222.979,0.591,1.0
A,2019_7,7,4,46.796,154.744,0.698,1.0
A,2019_8,8,4,44.057,71.14,0.381,1.0
A,2019_9,9,4,26.169,75.54,0.654,1.0
A,2019_10,10,4,55.654,109.888,0.494,1.0
A,2019_11,11,4,13.81,109.481,0.874,1.0
A,2019_12,12,4,43.303,53.075,0.184,1.0
A,2020_1,1,4,98.641,28.946,-2.408,0.0
A,2020_2,2,4,89.77,18.668,-3.809,0.0
A,2020_3,3,4,119.148,59.66,-0.997,0.0
A,2020_4,4,4,35.559,53.924,0.341,1.0
A,2020_5,5,4,215.246,79.774,-1.698,0.0
A,2020_6,6,4,255.117,95.978,-1.658,0.0
A,2020_7,7,4,334.381,104.1,-2.212,0.0
A,2020_8,8,4,144.044,146.251,0.015,1.0
A,2020_9,9,4,53.415,45.365,-0.177,0.0
A,2020_10,10,4,78.758,35.147,-1.241,0.0
A,2020_11,11,4,78.251,11.142,-6.023,0.0
A,2020_12,12,4,47.789,10.599,-3.509,0.0
A,2011_1,1,5,55.127,101.653,0.458,1.0
A,2011_2,2,5,243.374,375.626,0.352,1.0
A,2011_3,3,5,602.805,559.155,-0.078,0.0
A,2011_4,4,5,754.901,529.851,-0.425,0.0
A,2011_5,5,5,701.193,422.367,-0.66,0.0
A,2011_6,6,5,629.325,397.324,-0.584,0.0
A,2011_7,7,5,509.71,161.82,-2.15,0.0
A,2011_8,8,5,53.086,63.877,0.169,1.0
